Date,Stock,Sentiment
2021-02-17,NOK,0.1759559602649006
2021-02-18,AMC,0.1406761515601783
2021-02-18,GME,0.10777516880853809
2021-02-18,NOK,0.14259822485207094
2021-02-19,AMC,0.16461534267912814
2021-02-19,GME,0.1401739104477615
2021-02-19,NOK,0.23469999999999994
2021-02-20,AMC,0.24447129629629602
2021-02-20,GME,0.17770083752093788
2021-02-20,NOK,0.3231647887323944
2021-02-21,AMC,0.213291823899371
2021-02-21,GME,0.14791084812623273
2021-02-21,NOK,0.2456452054794521
2021-02-22,AMC,0.15447269180754206
2021-02-22,GME,0.13030918958031854
2021-02-22,NOK,0.204328846153846
2021-02-23,AMC,0.16069858385093172
2021-02-23,GME,0.12025015624999993
2021-02-23,NOK,0.2320891891891892
2021-02-24,AMC,0.11137672102440631
2021-02-24,GME,0.0814295794425334
