Date,Stock,Sentiment
2021-02-14,PLTR,0.20822463768115929
2021-02-14,TSLA,0.24059535080304337
2021-02-15,AAPL,0.166528
2021-02-15,PLTR,0.21683887043189357
2021-02-15,TSLA,0.18485228807201803
2021-02-16,AAPL,0.15682387247278382
2021-02-16,PLTR,0.13902813211845103
2021-02-16,TSLA,0.1637162522522522
2021-02-17,AAPL,0.1021886304909561
2021-02-17,PLTR,0.16640984490896849
2021-02-17,TSLA,0.14205928774928792
2021-02-18,AAPL,0.09509072164948454
2021-02-18,PLTR,0.15948469643753116
2021-02-18,TSLA,0.1473155474452552
2021-02-19,AAPL,0.14611771472392643
2021-02-19,PLTR,0.20852794967698096
2021-02-19,TSLA,0.16590345950345908
2021-02-20,AAPL,0.18242354124748494
2021-02-20,PLTR,0.21776710526315782
